# water_k, water_j,reference_k
282.128142,31622986.59,277.774682
282.170983,6629081.327,278.073727
282.217413,-13992685.94,278.35893
282.266411,-31547174.34,278.627198
282.317071,-51869274.71,278.875977
282.369022,-37626544.19,279.102236
282.418483,-26259012.37,279.30372
282.465116,-12267551.32,279.477383
282.508095,870230.3046,279.621001
282.546935,16518422.09,279.730308
282.580878,29374983.21,279.804486
282.609696,44028132.99,279.841694
282.632808,57884191.56,279.84081
282.649959,86726610.66,279.801375
282.65958,112906352.7,279.722507
282.661898,135200209.9,279.60364
282.657502,155461978.3,279.444586
282.647159,150371269.2,279.245792
282.634236,147656633.1,279.00828
282.620108,143490614.4,278.736148
282.60633,135556269,278.486259
282.593321,118175756.2,278.282149
282.581941,95973911.94,278.113783
282.572627,72795437.37,277.97462
282.56546,52351517.02,277.859854
282.560184,108888549.2,277.748493
282.549756,166569362.8,277.641385
282.534089,220436090.8,277.538799
282.513547,266873668.9,277.441024
282.488823,296993886.8,277.33302
282.461423,324483406.9,277.218993
282.431596,349726524.3,277.10138
282.399552,372791305.6,276.981781
282.366987,336980091,276.88685
282.344357,302449074.9,276.8107
282.327928,268123729.4,276.750531
282.315668,230992510.5,276.705099
282.30671,246339348.7,276.656737
282.295564,265369721.7,276.60725
282.282551,280686360,276.558198
282.268453,296508471.5,276.510005
282.2534,314423432.1,276.459216
282.237311,329748472,276.407286
282.220524,344811095.3,276.354659
282.203072,362018693.6,276.301157
282.184757,359134352.1,276.25071
282.167459,353733179.7,276.203042
282.151032,350902408,276.157195
282.135079,348277419.3,276.112962
282.105181,613798020.8,275.927147
282.067528,613630893.7,275.777269
282.035815,606339956.5,275.649309
282.008214,602733078.4,275.536105
281.983085,600536688.7,275.434212
281.959653,561108518.9,275.352778
281.940931,522031699.4,275.288673
281.925864,478446923.7,275.24102
281.914241,432884636.7,275.209004
281.905724,377099020.5,275.188466
281.900939,319395697.5,275.179198
281.899691,260008522.8,275.180965
281.901831,198943333,275.193568
281.907234,189820280.1,275.19742
281.910892,181927731.7,275.196148
281.913512,177741413,275.191176
281.915181,169541605.9,275.184141
281.916576,143500783,275.178834
281.919433,114090405.1,275.175375
281.923789,88544696.54,275.173076
281.929098,63540135.8,275.171924
281.935278,74248253.06,275.167908
281.939047,84415565.08,275.161999
281.941144,91545124.77,275.155192
281.942214,101457737.2,275.147274
281.942173,108209531.5,275.138037
281.94149,114649526.4,275.127796
281.940254,120917121,275.116757
281.93853,127039007,275.105072
281.936377,171224047.5,275.078351
281.930352,213811007.2,275.041231
281.921392,253106794.7,274.996559
281.910224,291109437.2,274.946317
281.897918,253102838,274.97056
281.893255,212051601.8,275.066314
281.896161,172723178.5,275.220255
281.906131,137734952.8,275.420866
281.922373,116679427.1,275.655818
281.943194,98246566.83,275.917992
281.968099,82680539.34,276.200462
281.996445,65494669.6,276.497881
282.027953,56504026.46,276.805715
282.06134,48437471.47,277.118744
282.098236,40946760.89,277.432215
282.138318,34479719.4,277.741748
282.180903,9543312.372,278.041126
282.227073,-11025068.76,278.326662
282.275807,-28538235.05,278.595258
282.3262,-48821790.53,278.844363
282.377881,-34663006.13,279.070945
282.42708,-23380374.11,279.272748
282.47346,-9471352.285,279.446727
282.516194,3586469.526,279.590657
282.554798,19208652.87,279.700273
282.588507,32034773.92,279.774755
282.617096,46659176.1,279.812262
282.639981,60484447.35,279.811673
282.656909,89203193.24,279.772529
282.666319,115262887.7,279.693947
282.668437,137446327.9,279.575361
282.663852,157600391.2,279.416582
282.65333,152487790.6,279.21806
282.640232,149749154.4,278.980813
282.62593,145560731.2,278.708942
282.611982,137602669.3,278.459309
282.598804,120161811.2,278.255453
282.587263,97900606.66,278.087337
282.577792,74664960.34,277.948422
282.570474,54166027.92,277.833901
282.565053,110526123.7,277.722783
282.554497,168039155.7,277.615916
282.538717,221747427.1,277.513569
282.518077,268039121.2,277.41603
282.493269,298134172.9,277.30826
282.465787,325601872.2,277.194464
282.43588,350823762.7,277.07708
282.403759,373867839.9,276.957708
282.372694,338062859.2,276.863001
282.350889,303950228.7,276.787073
282.334867,269882113.1,276.727124
282.322787,232903500,276.681911
282.313883,248210129.6,276.633765
282.302737,267164909,276.584493
282.289697,282394868.3,276.535653
282.275561,298120732.9,276.487671
282.260464,316026364.3,276.437091
282.244322,331341059.6,276.385368
282.227479,346391408.5,276.332946
282.209968,363585719.9,276.279647
282.191594,360687612.8,276.229401
282.174236,355272479.5,276.181932
282.15775,352427764.6,276.136282
282.142013,349788928.9,276.092245
282.112623,615409995.3,275.906624
282.07515,615391962.1,275.756936
282.043544,608233239.8,275.629165
282.016002,604747845.3,275.516146
281.990897,602662353.6,275.414439
281.967461,563239476.3,275.333187
281.948724,524160709.3,275.269263
281.933632,480570969.9,275.221789
281.921977,435001367.8,275.189951
281.913424,379254558.2,275.16959
281.908644,321588218.3,275.160497
281.907431,262250105.6,275.162438
281.909617,201243003.2,275.175213
281.915065,192181925.6,275.179236
281.918759,184351615.8,275.178135
281.921404,180221728.4,275.17333
281.923087,172079016.6,275.166463
281.924486,146042935.6,275.161321
281.927342,116633695.3,275.158025
281.9317,91087801.73,275.155889
281.937017,66084166.82,275.154898
281.943209,76746231,275.151042
281.946996,86872497.2,275.145291
281.949114,93958932.47,275.138641
281.950208,103829068,275.130878
281.95019,110587804.4,275.121795
281.949525,117034743,275.111706
281.948303,123307705.7,275.100819
281.946591,129433691,275.089283
281.944448,173522398.1,275.062711
281.938442,216012395.2,275.025736
281.929508,255216880.6,274.98121
281.918371,293125456.5,274.931111
281.9061,255126064,274.955497
281.901466,214083060.9,275.051394
281.904397,174761760.3,275.205477
281.914389,139779871.4,275.406229
281.930649,118781274.8,275.641322
281.95148,100401118.6,275.903638
281.97639,84890169.72,276.186248
282.004735,67758089.12,276.483807
282.036237,58768418.87,276.791781
282.069617,50701599.18,277.104949
282.106309,43210741.85,277.41856
282.146188,36689527.67,277.728231
282.188575,11797574.51,278.027746
282.234544,-8729534.132,278.313417
282.283073,-26210761.44,278.582149
282.33326,-46464527.58,278.831387
282.384732,-32370703.7,279.058102
282.433729,-21153768.81,279.260036
282.479913,-7308538.793,279.434145
282.522458,5687411.001,279.578203
282.560879,21289454.33,279.687945
282.594408,34092008.52,279.762552
282.622818,48694153.44,279.800182
282.645528,62495590.34,279.799714
282.662283,91118660.63,279.760689
282.67153,117085485.9,279.682225
282.673494,139183508.1,279.563754
282.668763,159254253.4,279.405088
282.658103,154124705.9,279.206677
282.644868,151367493.1,278.969539
282.630433,147161727.4,278.697775
282.616352,139185308.9,278.448248
282.603045,121697766.5,278.244495
282.591378,99390640.52,278.076482
282.581786,76110766.33,277.937669
282.574352,55569277.31,277.823249
282.568819,111792527.5,277.712231
282.558163,169175796.3,277.605462
282.542296,222761518.8,277.503213
282.52158,268940389.2,277.405771
282.496707,299015973.3,277.298097
282.469161,326466792.9,277.184396
282.439192,351672263.1,277.067106
282.407011,374700324.5,276.947827
282.377106,338900159.6,276.853212
282.355939,305110933.1,276.777376
282.340232,271241658,276.717517
282.32829,234381009.4,276.672393
282.319429,249656532.6,276.624336
282.308283,268552852.4,276.575152
282.295222,283715785.2,276.5264
282.281055,299367228.2,276.478504
282.265925,317265639.9,276.42801
282.249742,332572330.9,276.376372
282.232855,347613183.8,276.324034
282.215299,364797216.4,276.270818
282.196879,361888460.6,276.220655
282.179475,356462527.7,276.173268
282.162943,353607027.1,276.127699
282.147372,350957480,276.083742
282.118374,616655997.2,275.8982
282.081039,616753096.5,275.74859
282.049516,609696478.4,275.620897
282.022019,606304908.7,275.507955
281.996932,604305070.3,275.406323
281.973494,564886241.5,275.325146
281.954745,525805935.8,275.261296
281.939634,482212333.4,275.213896
281.927954,436637056.3,275.182131
281.919404,380920215.7,275.161842
281.91465,323291442.5,275.152821
281.913473,263997740.6,275.154833
281.915694,203038452.2,275.16768
281.921173,194025746.6,275.171773
281.924889,186242641.3,275.170741
281.927547,182154778,275.166006
281.929235,174054375,275.159207
281.930631,148019873.9,275.154132
281.933486,118609584.6,275.150904
281.937848,93063542.21,275.148834
281.943172,68061289.4,275.14791
281.949373,78688056.31,275.144119
281.953173,88782499.44,275.138433
281.955307,95835115.95,275.131847
281.956416,105671672.8,275.124148
281.956414,112435066.7,275.115129
281.95576,118886567.8,275.105102
281.954546,125162830.8,275.094277
281.952841,131291333.9,275.082803
281.950706,175304864.2,275.056291
281.944713,217719335.5,275.019377
281.935798,256852744.6,274.97491
281.924684,294688120.7,274.92487
281.912439,256694021.8,274.949315
281.907827,215657084.3,275.04527
281.910775,176340968.8,275.199411
281.920782,141363642.5,275.400221
281.937055,120408776.8,275.635372
281.957893,102069061.9,275.897746
281.982805,86600379.27,276.180414
282.011148,69509557.82,276.478031
282.042643,60520278.98,276.786062
282.076018,52452907.12,277.099287
282.112552,44961604.8,277.412955
282.152273,38398470.72,277.722682
282.194508,13540879.15,278.022253
282.240321,-6954328.53,278.307981
282.288692,-24410873.89,278.576768
282.338718,-44641621.44,278.826061
282.390029,-30598051.49,279.05283
282.438869,-19431939.42,279.254818
282.484903,-5636057.544,279.42898
282.527301,7312029.957,279.573091
282.56558,22898482.8,279.682885
282.598969,35682797.1,279.757543
282.627243,50267715.11,279.795224
282.649817,64050705.91,279.794805
282.666439,92599779.24,279.75583
282.675559,118494779.2,279.677413
282.677404,140526739.3,279.55899
282.672559,160533047.9,279.400371
282.661793,155390384.6,279.202004
282.648453,152618796.3,278.964912
282.633914,148399609.7,278.693191
282.619731,140408986.3,278.443708
282.606323,122885336.7,278.239998
282.594559,100542693.9,278.072027
282.584874,77228613.14,277.933255
282.57735,56654210.44,277.818876
282.57173,112771647.5,277.707899
282.560997,170054581.1,277.601171
282.545063,223545548.2,277.498962
282.524288,269637184.2,277.40156
282.499364,299697711.9,277.293926
282.47177,327135476.1,277.180264
282.441753,352328246.4,277.063012
282.409525,375343921,276.943772
282.380516,339547474.2,276.849194
282.359841,306008055,276.773395
282.344377,272292375.7,276.713573
282.332542,235522849.6,276.668486
282.323714,250774307.1,276.620466
282.312568,269625432.6,276.571318
282.299491,284736556.6,276.522602
282.2853,300330479.5,276.474742
282.270144,318223305.2,276.424282
282.25393,333523804.6,276.372679
282.23701,348557313.4,276.320375
282.219418,365733397.3,276.267194
282.200962,362816407,276.217065
282.183523,357382123.2,276.169711
282.166981,354518282.5,276.124175
282.151542,351866315.7,276.080251
282.122838,617624298.3,275.894742
282.085603,617809623.9,275.745165
282.054139,610830496.1,275.617503
282.026674,607510416.6,275.504592
282.001599,605575996.6,275.402991
281.978157,566159644.9,275.321845
281.959397,527077659.7,275.258026
281.94427,483480701.7,275.210656
281.932571,437900758.2,275.178921
281.924027,382206852,275.158662
281.919297,324608431.7,275.14967
281.918148,265349954.6,275.151712
281.920397,204427922.9,275.164588
281.925898,195452501.4,275.16871
281.929629,187705558.4,275.167706
281.932296,183649753.3,275.162999
281.933987,175581600.8,275.156228
281.935378,149547877.7,275.151182
281.938231,120136375.8,275.147982
281.942595,94589859.3,275.145939
281.947924,69588354.68,275.145041
281.954132,80187580.29,275.141278
281.957942,90257205.47,275.135618
281.960086,97283498.57,275.129059
281.961206,107093948.2,275.121386
281.961216,113860772.4,275.112392
281.96057,120315647.5,275.102391
281.959363,126594449.3,275.091591
281.957665,132725001,275.080143
281.955535,176680656.5,275.053656
281.949554,219036964.4,275.016766
281.940654,258115602.5,274.972324
281.929557,295894522,274.922309
281.917332,257904526.3,274.946777
281.912736,216872256.4,275.042756
281.915699,177560102.8,275.196921
281.925717,142586238,275.397755
281.941999,121665054.2,275.63293
281.962842,103356468.1,275.895327
281.987755,87920312.33,276.17802
282.016096,70861232.25,276.47566
282.047586,61872151.7,276.783715
282.080956,53804250.75,277.096964
282.117368,46312504.42,277.410654
282.156968,39717015.24,277.720405
282.199084,14885927.07,278.019999
282.244777,-5584675.895,278.305749
282.293026,-23022186.92,278.574559
282.342929,-43235184,278.823875
282.394115,-29230396.56,279.050666
282.442835,-18103505.54,279.252677
282.488752,-4345706.208,279.42686
282.531037,8565445.83,279.570993
282.569207,24139862.06,279.680808
282.602489,36910096.03,279.755487
282.630656,51481715.41,279.793189
282.653125,65250467.18,279.792791
282.669644,93742444.52,279.753835
282.678667,119582024.6,279.675438
282.68042,141563012.2,279.557034
282.675488,161519603.1,279.398434
282.664639,156366815.6,279.200087
282.651218,153584131.6,278.963013
282.636599,149354585.9,278.69131
282.622337,141352998.6,278.441844
282.608852,123801488.6,278.238152
282.597013,101431441.3,278.070198
282.587256,78090967.2,277.931444
282.579662,57491168.9,277.817082
282.573975,113526973.3,277.706122
282.563184,170732501.1,277.59941
282.547197,224150368,277.497218
282.526377,270174706.4,277.399832
282.501414,300223617.1,277.292213
282.473782,327651308.1,277.178568
